sample,modal,inf,n,procent,syl_inf,xpos,upos,morph_aspect,xpos2
casniki,morati,opravičiti,1,0.05,5,Ggdn,VERB,Perf,Vmen
casniki,morati,opredeliti,1,0.05,5,Ggdn,VERB,Perf,Vmen
casniki,morati,opremiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,oskrbeti,1,0.05,3,Ggdn,VERB,Perf,Vmen
casniki,morati,osvežiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,ovrednotiti,1,0.05,5,Ggdn,VERB,Perf,Vmen
casniki,morati,piti,1,0.05,2,Ggnn,VERB,Imp,Vmpn
casniki,morati,pobegniti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,početi,1,0.05,3,Ggvn,VERB,Both,Vmbn
casniki,morati,podpirati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,podpreti,1,0.05,3,Ggdn,VERB,Perf,Vmen
casniki,morati,pogajati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,pojesti,1,0.05,3,Ggdn,VERB,Perf,Vmen
casniki,morati,pokopati,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,pokoriti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,pokrivati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,polagati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,poleteti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,policisti,1,0.05,4,Sommi,UNK,UNK,Ncmpn
casniki,morati,ponotranjiti,1,0.05,5,Ggdn,VERB,Perf,Vmen
casniki,morati,popravljati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,porabiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,poravnati,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,poročati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,posekati,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,posesati,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,poskusiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,poslati,1,0.05,3,Ggdn,VERB,Perf,Vmen
casniki,morati,pospešiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,postoriti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,potrkati,1,0.05,3,Ggdn,VERB,Perf,Vmen
casniki,morati,potrpeti,1,0.05,3,Ggvn,VERB,Both,Vmbn
casniki,morati,poučiti,1,0.05,3,Ggdn,VERB,Perf,Vmen
casniki,morati,poudarjati,1,0.05,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,povišati,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,povzdigniti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,pozornosti,1,0.05,4,Sozer,UNK,UNK,Ncfsg
casniki,morati,prebrati,1,0.05,3,Ggdn,VERB,Perf,Vmen
casniki,morati,prebroditi,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,prečkati,1,0.05,3,Ggvn,VERB,Both,Vmbn
casniki,morati,predati,1,0.05,3,Ggdn,VERB,Perf,Vmen
casniki,morati,predstaviti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,prehoditi,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,prejeti,1,0.05,3,Ggdn,VERB,Perf,Vmen
casniki,morati,preklopiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
casniki,morati,prelomiti,1,0.05,4,Ggdn,VERB,Perf,Vmen
