SubjID;WordType;Genus;Sigstark;En;E;Er;S;Z
30;NoRhyme;Fem;3,90333333333333;3;8;0;1;0
30;NoRhyme;Masc;3,31416666666667;0;11;0;1;0
30;NoRhyme;Neut;3,14166666666667;0;9;0;3;0
30;Rhyme;Fem;3,68833333333333;3;6;0;3;0
30;Rhyme;Masc;3,19750000000000;1;6;1;4;0
30;Rhyme;Neut;3,35583333333333;1;8;1;2;0
31;NoRhyme;Fem;4,40833333333333;5;7;0;0;0
31;NoRhyme;Masc;4,18583333333333;5;4;3;0;0
31;NoRhyme;Neut;2,33000000000000;0;0;0;12;0
31;Rhyme;Fem;4,53333333333333;6;5;1;0;0
31;Rhyme;Masc;3,98500000000000;5;1;6;0;0
31;Rhyme;Neut;2,33000000000000;0;0;0;12;0
32;NoRhyme;Fem;4,25083333333333;6;1;5;0;0
32;NoRhyme;Masc;4,22916666666667;6;1;5;0;0
32;NoRhyme;Neut;4,20750000000000;5;4;3;0;0
32;Rhyme;Fem;3,48500000000000;3;3;6;0;0
32;Rhyme;Masc;3,43000000000000;2;3;7;0;0
32;Rhyme;Neut;3,67916666666667;3;6;3;0;0
33;NoRhyme;Fem;4,70454545454546;6;5;0;0;0
33;NoRhyme;Masc;4,02500000000000;3;9;0;0;0
33;NoRhyme;Neut;4,79166666666667;7;5;0;0;0
33;Rhyme;Fem;4,60000000000000;6;6;0;0;0
33;Rhyme;Masc;4,12833333333333;4;7;1;0;0
33;Rhyme;Neut;4,60000000000000;6;6;0;0;0
34;NoRhyme;Fem;3,98250000000000;3;9;0;0;0
34;NoRhyme;Masc;3,43454545454545;0;11;0;0;0
34;NoRhyme;Neut;4,25545454545455;4;7;0;0;0
34;Rhyme;Fem;3,39666666666667;1;10;1;0;0
34;Rhyme;Masc;3,32250000000000;0;11;1;0;0
34;Rhyme;Neut;3,60250000000000;2;10;0;0;0
35;NoRhyme;Fem;3,65916666666667;2;10;0;0;0
35;NoRhyme;Masc;4,20583333333333;5;6;0;0;1
35;NoRhyme;Neut;3,85083333333333;3;9;0;0;0
35;Rhyme;Fem;3,95416666666667;3;8;1;0;0
35;Rhyme;Masc;4,42583333333333;6;6;0;0;0
35;Rhyme;Neut;4,39750000000000;6;5;1;0;0
36;NoRhyme;Fem;4,89500000000000;9;0;0;3;0
36;NoRhyme;Masc;4,04000000000000;6;0;0;6;0
36;NoRhyme;Neut;4,04000000000000;6;0;0;6;0
36;Rhyme;Fem;4,04000000000000;6;0;0;6;0
36;Rhyme;Masc;4,04000000000000;6;0;0;6;0
36;Rhyme;Neut;3,75500000000000;5;0;0;7;0
37;NoRhyme;Fem;4,96916666666667;8;4;0;0;0
37;NoRhyme;Masc;4,77750000000000;7;5;0;0;0
37;NoRhyme;Neut;4,58583333333333;6;6;0;0;0
37;Rhyme;Fem;3,44250000000000;2;10;0;0;0
37;Rhyme;Masc;3,97166666666667;4;8;0;0;0
37;Rhyme;Neut;3,91166666666667;3;8;1;0;0
38;NoRhyme;Fem;4,13333333333333;6;1;0;5;0
38;NoRhyme;Masc;3,18500000000000;3;0;0;9;0
38;NoRhyme;Neut;3,30000000000000;3;0;6;3;0
38;Rhyme;Fem;4,41833333333333;7;1;0;4;0
38;Rhyme;Masc;3,75500000000000;5;0;0;7;0
38;Rhyme;Neut;3,28083333333333;3;0;5;4;0
39;NoRhyme;Fem;3,45000000000000;0;12;0;0;0
