EmoVal	Freq	WORD	WORD_LOWER	WORD_CLASS	EMO_MEAN	EMO_STD	AROUSAL_MEAN	AROUSAL_STD	IMAGE_MEAN	IMAGE_STD	LETTERS	PHONEMES	SYLLABLES	Ftot/1MIL	N	FN	HFN	FHFN	BIGmean(TOKEN)	ACCENT
POS	HF	WOCHENENDE	wochenende	N	2,4	1,2	3,7	1,2	5,3	1,5	10	9	4	113,7	0	0,0	0	0,0	508687,4	1
NEG	NF	WODKA	wodka	N	-0,1	1,6	3,0	1,1	5,0	1,7	5	5	2	3,5	0	0,0	0	0,0	22127,8	1
POS	NF	WOHLTAT	wohltat	N	1,8	0,6	1,8	0,7	2,6	1,1	7	6	2	3,0	0	0,0	0	0,0	49809,3	1
POS	HF	WOHNEN	wohnen	V	1,4	0,8	2,0	1,1	4,9	1,5	6	5	2	78,8	2	28,0	0	0,0	261350,4	1
NEG	NF	WOHNHEIM	wohnheim	N	-0,4	1,0	2,5	0,9	5,8	1,1	8	6	2	3,0	0	0,0	0	0,0	139800,9	1
POS	HF	WOHNUNG	wohnung	N	1,1	1,0	2,0	1,1	6,0	1,0	7	5	2	150,5	0	0,0	0	0,0	118760,5	1
POS	HF	WOLKE	wolke	N	1,0	0,9	1,9	1,0	6,8	0,4	5	5	2	22,5	3	23,3	1	23,3	47154,3	1
POS	HF	WOLLE	wolle	N	0,9	0,8	2,0	0,9	5,2	1,3	5	4	2	23,3	7	300,3	3	277,2	101286,3	1
POS	HF	WOLLEN	wollen	V	0,8	1,2	2,5	1,2	1,8	0,8	6	5	2	1741,0	7	1968,8	1	1856,3	287872,2	1
POS	NF	WOLLUST	wollust	N	1,1	1,5	3,7	1,0	3,3	1,8	7	6	2	2,7	0	0,0	0	0,0	95951,0	1
POS	NF	WONNE	wonne	N	1,9	1,0	2,3	1,2	2,3	1,3	5	4	2	1,7	5	181,8	4	181,8	116799,8	1
POS	HF	WORT	wort	N	0,8	1,0	2,0	0,9	4,2	2,2	4	4	1	457,5	7	753,7	0	0,0	71361,7	1
NEG	NF	WORTKARG	wortkarg	A	-0,9	0,9	1,6	1,1	2,9	1,8	8	8	2	3,2	0	0,0	0	0,0	53217,0	1
NEG	NF	WUCHERN	wuchern	V	-1,6	0,8	3,5	0,9	4,3	1,6	7	6	2	2,8	0	0,0	0	0,0	431096,8	1
NEG	NF	WUCHT	wucht	N	-0,3	0,8	4,1	0,8	4,2	1,5	5	4	1	5,3	7	22,3	2	17,8	235161,5	1
NEG	HF	WUNDE	wunde	N	-1,8	0,9	3,9	0,8	5,0	1,0	5	5	2	17,7	4	101,8	2	76,0	412864,8	1
POS	HF	WUNDER	wunder	N	1,9	1,0	3,6	1,2	3,4	1,9	6	6	2	45,8	1	0,5	0	0,0	627803,6	1
NEG	HF	WUNDERN	wundern	V	-0,1	0,7	2,8	0,8	2,9	1,1	7	7	2	24,2	2	165,0	1	164,0	531650,3	1
POS	HF	WUNSCH	wunsch	N	1,6	0,5	2,5	1,2	2,6	1,2	6	4	1	166,2	1	0,0	0	0,0	295076,2	1
POS	HF	WÜNSCHEN	wünschen	V	1,5	1,0	3,3	1,1	3,6	1,7	8	6	2	114,8	0	0,0	0	0,0	467809,0	1
POS	HF	WÜRDIGEN	würdigen	V	1,2	1,1	2,9	1,0	2,7	1,9	8	8	3	34,7	0	0,0	0	0,0	325218,4	1
POS	NF	WÜRFEL	würfel	N	0,5	0,9	2,8	1,2	6,3	1,1	6	6	2	3,5	0	0,0	0	0,0	79887,3	1
NEG	NF	WURM	wurm	N	-1,4	1,1	2,7	0,9	5,7	1,5	4	4	1	4,3	3	77,3	3	77,3	31613,0	1
POS	NF	WURST	wurst	N	0,5	1,4	2,5	1,3	5,6	1,4	5	5	1	10,5	3	10,2	0	0,0	93345,5	1
POS	NF	YACHT	yacht	N	1,0	1,2	2,6	1,2	6,4	0,7	5	4	1	2,8	6	344,3	4	341,2	236309,0	1
NEG	NF	ZAGHAFT	zaghaft	A	-0,8	0,4	1,5	0,8	3,2	1,3	7	7	2	3,2	0	0,0	0	0,0	49516,2	1
NEG	HF	ZAHL	zahl	N	0,1	0,6	2,2	1,1	5,8	1,9	4	3	1	197,8	6	214,3	0	0,0	37327,3	1
NEG	HF	ZAHLEN	zahlen	V	-0,6	1,2	2,4	1,0	4,5	2,2	6	5	2	94,3	4	86,0	0	0,0	262865,2	1
NEG	HF	ZÄHLEN	zählen	V	0,1	0,7	1,9	0,9	4,7	1,8	6	5	2	84,0	5	232,5	2	229,7	418395,3	1
NEG	HF	ZAHLUNG	zahlung	N	-0,7	1,3	3,0	1,0	3,3	1,1	7	5	2	24,5	1	5,3	0	0,0	119838,3	1
POS	NF	ZAHM	zahm	A	0,5	0,5	1,4	1,0	3,6	1,2	4	3	1	3,7	5	1419,0	5	1187,0	27638,0	1
NEG	HF	ZAHN	zahn	N	-0,5	1,5	2,7	1,1	5,9	1,2	4	3	1	33,2	8	524,7	3	485,5	31350,7	1
NEG	NF	ZAHNARZT	zahnarzt	N	-1,5	0,8	4,1	0,8	6,4	0,5	8	7	2	3,5	0	0,0	0	0,0	43663,4	1
NEG	NF	ZANGE	zange	N	-0,6	1,1	2,1	1,0	5,2	1,6	5	4	2	3,0	4	123,2	4	123,2	186293,3	1
NEG	NF	ZANK	zank	N	-1,6	0,5	3,4	1,0	3,8	1,6	4	4	1	0,7	5	366,0	5	366,0	91320,3	1
NEG	NF	ZÄPFCHEN	zäpfchen	N	-1,8	1,5	3,7	1,2	4,9	1,7	8	6	2	0,3	1	0,0	0	0,0	408025,8	1
POS	HF	ZART	zart	A	1,7	0,8	2,2	1,4	4,1	1,5	4	4	1	19,7	5	856,0	4	633,0	59177,0	1
POS	NF	ZAUBER	zauber	N	1,6	1,4	3,6	1,0	3,9	1,9	6	5	2	7,3	2	28,8	1	27,8	419678,4	1
POS	NF	ZAUBEREI	zauberei	N	1,4	0,7	3,4	1,0	4,6	1,3	8	6	3	2,0	1	2,5	1	2,5	422798,1	3
POS	NF	ZAUBERER	zauberer	N	1,4	1,0	3,5	1,0	6,1	0,9	8	7	3	2,5	2	3,2	0	0,0	545598,7	1
POS	NF	ZAUBERN	zaubern	V	1,4	1,0	2,6	1,1	4,1	1,6	7	6	2	4,5	1	6,0	1	6,0	358212,7	1
NEG	NF	ZAUDERN	zaudern	V	-1,0	0,5	2,5	1,0	3,2	1,6	7	6	2	1,0	2	28,0	1	27,0	451841,5	1
POS	HF	ZEBRA	zebra	N	1,1	1,4	2,8	1,4	6,2	1,2	5	5	2	23,7	0	0,0	0	0,0	65955,5	1
NEG	HF	ZECHE	zeche	N	-0,9	1,1	2,4	1,1	2,3	1,6	5	4	2	12,2	1	0,0	0	0,0	272536,0	1
POS	HF	ZEIGEN	zeigen	V	0,6	0,7	2,2	1,2	4,7	1,4	6	5	2	523,7	5	140,8	0	0,0	429921,4	1
POS	NF	ZEITLOS	zeitlos	A	0,4	1,0	2,2	1,2	2,0	0,7	7	6	2	4,2	0	0,0	0	0,0	162733,8	1
NEG	NF	ZEITNOT	zeitnot	N	-1,9	0,7	3,6	0,8	2,7	1,5	7	6	2	0,5	0	0,0	0	0,0	161029,0	1
POS	HF	ZEITUNG	zeitung	N	0,6	1,1	2,6	1,0	6,1	1,1	7	5	2	176,8	2	120,7	0	0,0	254959,3	1
NEG	HF	ZELLE	zelle	N	-1,0	1,4	3,2	1,1	4,8	1,8	5	4	2	25,8	6	58,7	1	31,0	126125,0	1
NEG	HF	ZENSUR	zensur	N	-1,0	0,8	3,7	0,9	3,8	1,8	6	6	2	11,3	3	0,7	0	0,0	254840,6	2
NEG	NF	ZERFALL	zerfall	N	-1,6	0,8	3,3	1,0	4,2	1,1	7	6	2	3,8	1	5,3	1	5,3	318004,7	2
NEG	NF	ZERLEGEN	zerlegen	V	-0,2	1,4	2,7	1,3	4,4	1,4	8	8	3	4,3	2	247,0	1	246,0	453892,0	2
NEG	NF	ZERLUMPT	zerlumpt	A	-1,9	0,9	2,9	1,1	5,8	0,7	8	8	2	1,3	0	0,0	0	0,0	240888,7	2
NEG	NF	ZERRUNG	zerrung	N	-1,8	0,6	3,4	1,0	3,4	1,6	7	5	2	0,5	1	0,0	0	0,0	369549,3	1
NEG	HF	ZERSTÖREN	zerstören	V	-2,5	0,9	3,9	1,2	5,3	1,5	9	9	3	64,0	0	102,0	0	0,0	520381,8	2
POS	HF	ZETTEL	zettel	N	0,5	0,8	2,1	1,2	5,2	1,7	6	5	2	14,8	1	0,5	0	0,0	120090,8	1
NEG	HF	ZEUGE	zeuge	N	0,1	1,3	2,7	1,0	3,4	1,8	5	4	2	26,8	1	0,0	0	0,0	114969,0	1
NEG	NF	ZEUGIN	zeugin	N	0,0	0,9	3,4	1,2	4,1	1,9	6	5	2	1,7	1	18,3	1	18,3	147240,0	1
NEG	HF	ZEUGNIS	zeugnis	N	-0,6	1,2	3,4	1,3	5,3	1,3	7	6	2	27,7	0	0,0	0	0,0	69714,0	1
POS	NF	ZIEGE	ziege	N	0,6	0,9	2,0	1,0	5,9	1,5	5	4	2	8,2	3	7,3	0	0,0	177279,8	1
POS	NF	ZIEGEL	ziegel	N	0,4	1,2	2,1	1,0	5,6	1,5	6	5	2	4,5	4	7,2	0	0,0	170442,4	1
NEG	HF	ZIEHEN	ziehen	V	-0,3	0,8	1,8	1,0	4,7	1,8	6	4	2	282,2	5	26,3	0	0,0	336242,2	1
POS	HF	ZIEL	ziel	N	2,0	1,1	3,1	0,9	4,0	2,0	4	3	1	257,2	3	2146,5	1	2090,8	155847,0	1
NEG	NF	ZIELLOS	ziellos	A	-1,6	0,7	3,0	1,3	2,7	1,0	7	6	2	1,7	0	0,0	0	0,0	105122,7	1
