FED;FEDfull;Ambiguity.D;Length.L;Length.W;Emovalsq;Emoval;Arousal;Familiarity;Sem.transp;Figurative;Concrete;Ambig;Confidence
DrckamSth;Dreck am Stecken haben;1;19;4;5,957746479;-1,901408451;4,563380282;4,802816901;3,774647887;4,774647887;3,422535211;0,338028169;5,464788732
drGrschig;der Groschen ist gefallen;1;22;4;2,126760563;0,211267606;3,450704225;4,309859155;3,915492958;4,605633803;3,690140845;0,591549296;4,61971831
drMhebidK;der Magen hängt einem bis in die Kniekehlen;0;36;8;2,695652174;-0,492753623;3,826086957;4,275362319;3,637681159;4,971014493;3,84057971;0,086956522;5,014492754
drMwadGgs;der Mutter wie aus dem Gesicht geschnitten sein;0;40;8;2,828571429;0,857142857;3,357142857;5,342857143;4,685714286;4,614285714;4,671428571;0,242857143;5,614285714
drnglbnms;dran glauben müssen;1;17;3;5,114285714;0;4,428571429;5,2;4,2;4,728571429;3,242857143;0,485714286;5,285714286
drSgiszGn;der Sieg ist zum Greifen nah;0;23;6;4,558823529;1,735294118;4,367647059;5,220588235;4,279411765;4,705882353;4,220588235;0,161764706;5,235294118
drStmmsHf;der Stimme seines Herzens folgen;0;28;5;6,84057971;2,173913043;4,84057971;5,579710145;4,246376812;5,47826087;3,927536232;0,130434783;5,057971014
dsBlvmHmv;das Blaue vom Himmel versprechen;0;28;5;2,985507246;-0,289855072;4,014492754;3,623188406;3,68115942;4,695652174;3,768115942;0,130434783;5,188405797
dsBtthtnm;das Bett hüten müssen;0;18;4;3,246376812;-0,898550725;3,666666667;4,144927536;3,434782609;4,84057971;3,768115942;0,434782609;4,927536232
DSchhtenH;Die Sache hat einen Haken;1;21;5;2,690140845;-0,577464789;4,098591549;4,873239437;4;4,915492958;3,535211268;0,549295775;5,042253521
dsEsbrchn;das Eis brechen;1;13;3;3,47826087;1,217391304;4,188405797;5,057971014;4,304347826;4,971014493;4,391304348;0,710144928;5,579710145
dsGrswchh;das Gras wachsen hören;0;19;4;2,957142857;0,385714286;3,071428571;4,128571429;3,428571429;5,057142857;3,928571429;0,042857143;4,685714286
dsGschtvr;das Gesicht verziehen;1;19;3;2,588235294;-0,735294118;3,573529412;4,25;3,970588235;4;3,779411765;0,529411765;4,676470588
dsGspriGh;das Gespräch in Gang halten;0;23;5;3,763888889;1,263888889;3,027777778;4,777777778;4,916666667;4;4,5;0,472222222;5,083333333
dsHndtchw;das Handtuch werfen;1;17;3;4,742857143;-0,914285714;4,328571429;5,257142857;4,042857143;5,071428571;4,028571429;0,742857143;5,285714286
dsHrzadZt;das Herz auf der Zunge tragen;0;24;6;3,826086957;1,072463768;3,956521739;4,289855072;3,797101449;5,405797101;3,579710145;0,15942029;5,014492754
DsistBnn!;Das ist Banane!;0;13;3;2,514285714;-0,142857143;4,014285714;4,328571429;3,571428571;4,871428571;3,314285714;0,557142857;5,3
